Log Date and Time Sun, 05 Apr 2009 12:28:00
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '119.3', '2124.7', '2072.3', 'Sat, 04 Apr 2009 21:28:59', '733501.91249749751')
(266, '117.7', '2134.0', '2084.6', 'Sun, 05 Apr 2009 01:54:59', '733502.09721986891')
(267, '118.0', '2138.3', '2089.2', 'Sun, 05 Apr 2009 01:55:59', '733502.09791422030')
(268, '118.0', '2136.3', '2084.4', 'Sun, 05 Apr 2009 01:56:59', '733502.09860861860')
(269, '118.0', '2146.9', '2093.9', 'Sun, 05 Apr 2009 01:57:59', '733502.09930315625')
(270, '117.5', '2150.2', '2095.0', 'Sun, 05 Apr 2009 01:58:59', '733502.09999755316')
(271, '116.4', '2137.2', '2085.1', 'Sun, 05 Apr 2009 01:59:59', '733502.10069213680')
(272, '115.5', '2137.5', '2085.6', 'Sun, 05 Apr 2009 02:00:59', '733502.10138648935')
(273, '115.0', '2134.5', '2090.2', 'Sun, 05 Apr 2009 02:01:59', '733502.10208088707')
(274, '114.8', '2145.1', '2093.4', 'Sun, 05 Apr 2009 02:02:59', '733502.10277542460')
(275, '115.0', '2145.7', '2104.5', 'Sun, 05 Apr 2009 02:03:59', '733502.10346982023')
(276, '115.2', '2144.1', '2106.6', 'Sun, 05 Apr 2009 02:04:59', '733502.10416417196')
(277, '115.5', '2159.4', '2103.3', 'Sun, 05 Apr 2009 02:05:59', '733502.10485875688')
(278, '115.9', '2167.6', '2116.4', 'Sun, 05 Apr 2009 02:06:59', '733502.10555310908')
(279, '115.7', '2157.4', '2111.6', 'Sun, 05 Apr 2009 02:07:59', '733502.10624769237')
(280, '115.2', '2151.3', '2099.5', 'Sun, 05 Apr 2009 02:08:59', '733502.10694204643')
(281, '115.2', '2153.3', '2102.5', 'Sun, 05 Apr 2009 02:09:59', '733502.10763644252')
(282, '115.2', '2152.3', '2103.8', 'Sun, 05 Apr 2009 02:10:59', '733502.10833097924')
(283, '115.0', '2162.8', '2100.3', 'Sun, 05 Apr 2009 02:11:59', '733502.10902537766')
(284, '115.2', '2165.3', '2107.3', 'Sun, 05 Apr 2009 02:12:59', '733502.10971973022')
(285, '115.7', '2151.3', '2098.7', 'Sun, 05 Apr 2009 02:13:59', '733502.11041431304')
(286, '115.9', '2159.5', '2096.7', 'Sun, 05 Apr 2009 02:14:59', '733502.11110866501')
(287, '116.2', '2158.2', '2103.8', 'Sun, 05 Apr 2009 02:15:59', '733502.11180324783')
(288, '116.6', '2156.6', '2098.5', 'Sun, 05 Apr 2009 02:16:59', '733502.11249759945')
(289, '117.3', '2163.8', '2098.3', 'Sun, 05 Apr 2009 02:17:59', '733502.11319199833')
(290, '117.3', '2166.1', '2104.1', 'Sun, 05 Apr 2009 02:18:59', '733502.11388653528')
(291, '117.0', '2167.4', '2100.5', 'Sun, 05 Apr 2009 02:19:59', '733502.11458093335')
(292, '117.0', '2184.0', '2111.9', 'Sun, 05 Apr 2009 02:20:59', '733502.11527528567')
(293, '117.5', '2176.4', '2110.6', 'Sun, 05 Apr 2009 02:21:59', '733502.11596986873')
(294, '117.3', '2168.9', '2106.6', 'Sun, 05 Apr 2009 02:22:59', '733502.11666422023')
(295, '117.5', '2156.9', '2099.5', 'Sun, 05 Apr 2009 02:23:59', '733502.11735880387')
(296, '118.2', '2149.5', '2095.0', 'Sun, 05 Apr 2009 02:24:59', '733502.11805315514')
(297, '118.0', '2143.4', '2091.4', 'Sun, 05 Apr 2009 02:25:59', '733502.11874755379')
(298, '117.3', '2139.3', '2088.4', 'Sun, 05 Apr 2009 02:26:59', '733502.11944209062')
(299, '117.5', '2137.6', '2088.2', 'Sun, 05 Apr 2009 02:27:59', '733502.12013648881')
(300, '116.6', '2142.7', '2086.4', 'Sun, 05 Apr 2009 02:28:59', '733502.12083083845')
(301, '116.4', '2143.9', '2091.2', 'Sun, 05 Apr 2009 02:29:59', '733502.12152542477')
(302, '116.8', '2143.9', '2107.3', 'Sun, 05 Apr 2009 02:30:59', '733502.12221977557')
(303, '116.4', '2159.7', '2099.5', 'Sun, 05 Apr 2009 02:31:59', '733502.12291435990')
(304, '116.8', '2159.2', '2106.3', 'Sun, 05 Apr 2009 02:32:59', '733502.12360871106')
(305, '116.8', '2148.3', '2098.8', 'Sun, 05 Apr 2009 02:33:59', '733502.12430310948')
(306, '116.8', '2153.6', '2109.1', 'Sun, 05 Apr 2009 02:34:59', '733502.12499764643')
(307, '116.6', '2151.9', '2110.1', 'Sun, 05 Apr 2009 02:35:59', '733502.12569204508')
(308, '116.2', '2153.6', '2110.6', 'Sun, 05 Apr 2009 02:36:59', '733502.12638639600')
(309, '115.0', '2147.3', '2100.8', 'Sun, 05 Apr 2009 02:37:59', '733502.12708098080')
(310, '115.5', '2152.8', '2102.3', 'Sun, 05 Apr 2009 02:38:59', '733502.12777533126')
(311, '115.0', '2150.6', '2100.0', 'Sun, 05 Apr 2009 02:39:59', '733502.12846991431')
(312, '114.6', '2144.2', '2094.5', 'Sun, 05 Apr 2009 02:40:59', '733502.12916426652')
(313, '115.2', '2146.5', '2095.7', 'Sun, 05 Apr 2009 02:41:59', '733502.12985866528')
(314, '115.0', '2151.3', '2111.6', 'Sun, 05 Apr 2009 02:42:59', '733502.13055320177')
(315, '114.8', '2146.2', '2103.5', 'Sun, 05 Apr 2009 02:43:59', '733502.13124760089')
(316, '115.0', '2137.1', '2095.2', 'Sun, 05 Apr 2009 02:44:59', '733502.13194195158')
(317, '114.3', '2133.2', '2090.4', 'Sun, 05 Apr 2009 02:45:59', '733502.13263653533')
(318, '114.6', '2133.2', '2096.2', 'Sun, 05 Apr 2009 02:46:59', '733502.13333088695')
(319, '115.0', '2129.9', '2091.4', 'Sun, 05 Apr 2009 02:47:59', '733502.13402528560')
(320, '116.2', '2131.0', '2087.7', 'Sun, 05 Apr 2009 02:48:59', '733502.13471982174')
(321, '116.8', '2142.6', '2089.4', 'Sun, 05 Apr 2009 02:49:59', '733502.13541422237')
(322, '117.0', '2140.8', '2090.6', 'Sun, 05 Apr 2009 02:50:59', '733502.13610880345')
(323, '117.0', '2134.5', '2085.6', 'Sun, 05 Apr 2009 02:51:59', '733502.13680315518')
(324, '117.5', '2142.9', '2085.6', 'Sun, 05 Apr 2009 02:52:59', '733502.13749755349')
(325, '117.3', '2149.0', '2100.2', 'Sun, 05 Apr 2009 02:53:59', '733502.13819209067')
(326, '116.8', '2152.0', '2108.6', 'Sun, 05 Apr 2009 02:54:59', '733502.13888648874')
(327, '116.4', '2146.9', '2100.2', 'Sun, 05 Apr 2009 02:55:59', '733502.13958084153')
(328, '116.2', '2136.3', '2089.9', 'Sun, 05 Apr 2009 02:56:59', '733502.14027542376')
(329, '115.5', '2140.8', '2088.6', 'Sun, 05 Apr 2009 02:57:59', '733502.14096977632')
(330, '116.2', '2143.9', '2097.7', 'Sun, 05 Apr 2009 02:58:59', '733502.14166435960')
(331, '115.9', '2140.1', '2097.4', 'Sun, 05 Apr 2009 02:59:59', '733502.14235871122')
(332, '115.5', '2135.5', '2089.9', 'Sun, 05 Apr 2009 03:00:59', '733502.14305310906')
(333, '115.9', '2158.4', '2100.7', 'Sun, 05 Apr 2009 03:01:59', '733502.14374764659')
(334, '116.6', '2139.8', '2091.1', 'Sun, 05 Apr 2009 03:02:59', '733502.14444204408')
(335, '116.6', '2132.9', '2086.6', 'Sun, 05 Apr 2009 03:03:59', '733502.14513639593')
(336, '116.6', '2140.1', '2094.7', 'Sun, 05 Apr 2009 03:04:59', '733502.14583098004')
(337, '116.4', '2145.2', '2090.1', 'Sun, 05 Apr 2009 03:05:59', '733502.14652533142')
(338, '116.2', '2162.3', '2104.0', 'Sun, 05 Apr 2009 03:06:59', '733502.14721991471')
(339, '115.5', '2159.0', '2103.0', 'Sun, 05 Apr 2009 03:07:59', '733502.14791426656')
(340, '116.4', '2141.1', '2091.1', 'Sun, 05 Apr 2009 03:08:59', '733502.14860866428')
(341, '116.4', '2145.2', '2090.6', 'Sun, 05 Apr 2009 03:09:59', '733502.14930320182')
(342, '116.2', '2147.0', '2096.2', 'Sun, 05 Apr 2009 03:10:59', '733502.14999760117')
(343, '115.9', '2150.3', '2090.6', 'Sun, 05 Apr 2009 03:11:59', '733502.15069195174')
(344, '117.0', '2151.8', '2099.9', 'Sun, 05 Apr 2009 03:12:59', '733502.15138653584')
(345, '117.7', '2145.9', '2091.7', 'Sun, 05 Apr 2009 03:13:59', '733502.15208088700')
(346, '118.0', '2153.6', '2108.3', 'Sun, 05 Apr 2009 03:14:59', '733502.15277546993')
(347, '119.1', '2146.9', '2104.8', 'Sun, 05 Apr 2009 03:15:59', '733502.15346982190')
(348, '120.0', '2143.9', '2114.3', 'Sun, 05 Apr 2009 03:16:59', '733502.15416422044')
(349, '120.0', '2136.5', '2100.2', 'Sun, 05 Apr 2009 03:17:59', '733502.15485875728')
(350, '119.5', '2135.8', '2099.0', 'Sun, 05 Apr 2009 03:18:59', '733502.15555315581')
(351, '118.8', '2131.2', '2094.4', 'Sun, 05 Apr 2009 03:19:59', '733502.15624750685')
(352, '118.8', '2128.4', '2092.4', 'Sun, 05 Apr 2009 03:20:59', '733502.15694209060')
(353, '119.1', '2127.4', '2091.4', 'Sun, 05 Apr 2009 03:21:59', '733502.15763644385')
(354, '119.3', '2124.1', '2088.7', 'Sun, 05 Apr 2009 03:22:59', '733502.15833102667')
(355, '119.3', '2124.6', '2088.2', 'Sun, 05 Apr 2009 03:23:59', '733502.15902537771')
(356, '119.8', '2126.1', '2088.2', 'Sun, 05 Apr 2009 03:24:59', '733502.15971977613')
(357, '119.8', '2123.6', '2085.2', 'Sun, 05 Apr 2009 03:25:59', '733502.16041431436')
(358, '120.0', '2122.6', '2084.1', 'Sun, 05 Apr 2009 03:26:59', '733502.16110871080')
(359, '120.9', '2123.4', '2085.2', 'Sun, 05 Apr 2009 03:27:59', '733502.16180306254')
(360, '121.5', '2121.6', '2084.1', 'Sun, 05 Apr 2009 03:28:59', '733502.16249764618')
(361, '121.3', '2118.6', '2081.1', 'Sun, 05 Apr 2009 03:29:59', '733502.16319199826')
(362, '121.3', '2118.3', '2079.6', 'Sun, 05 Apr 2009 03:30:59', '733502.16388658131')
(363, '120.2', '2121.9', '2080.6', 'Sun, 05 Apr 2009 03:31:59', '733502.16458093398')
(364, '119.3', '2118.6', '2077.4', 'Sun, 05 Apr 2009 03:32:59', '733502.16527533135')
(365, '119.5', '2122.4', '2080.1', 'Sun, 05 Apr 2009 03:33:59', '733502.16596986947')
(366, '119.1', '2120.1', '2079.1', 'Sun, 05 Apr 2009 03:34:59', '733502.16666426638')
(367, '119.3', '2115.8', '2074.9', 'Sun, 05 Apr 2009 03:35:59', '733502.16735861811')
(368, '119.8', '2113.5', '2072.9', 'Sun, 05 Apr 2009 03:36:59', '733502.16805320175')
(369, '120.0', '2114.3', '2072.4', 'Sun, 05 Apr 2009 03:37:59', '733502.16874755407')
(370, '120.7', '2118.6', '2073.1', 'Sun, 05 Apr 2009 03:38:59', '733502.16944194969')
(371, '120.7', '2116.6', '2072.1', 'Sun, 05 Apr 2009 03:39:59', '733502.17013648944')
(372, '120.2', '2115.6', '2070.9', 'Sun, 05 Apr 2009 03:40:59', '733502.17083088809')
(373, '120.0', '2120.1', '2073.4', 'Sun, 05 Apr 2009 03:41:59', '733502.17152542423')
(374, '119.5', '2121.1', '2073.1', 'Sun, 05 Apr 2009 03:42:59', '733502.17221982195')
(375, '119.1', '2118.1', '2071.1', 'Sun, 05 Apr 2009 03:43:59', '733502.17291422014')
(376, '119.1', '2120.1', '2070.6', 'Sun, 05 Apr 2009 03:44:59', '733502.17360875744')
(377, '118.6', '2124.7', '2073.9', 'Sun, 05 Apr 2009 03:45:59', '733502.17430315609')
(378, '118.4', '2121.6', '2070.6', 'Sun, 05 Apr 2009 03:46:59', '733502.17499750690')
(379, '118.0', '2126.9', '2073.9', 'Sun, 05 Apr 2009 03:47:59', '733502.17569209146')
(380, '117.5', '2126.9', '2071.4', 'Sun, 05 Apr 2009 03:48:59', '733502.17638644238')
(381, '116.8', '2129.2', '2074.6', 'Sun, 05 Apr 2009 03:49:59', '733502.17708102590')
(382, '116.2', '2131.3', '2078.9', 'Sun, 05 Apr 2009 03:50:59', '733502.17777537752')
(383, '115.9', '2128.2', '2072.1', 'Sun, 05 Apr 2009 03:51:59', '733502.17846977606')
(384, '116.2', '2132.3', '2074.9', 'Sun, 05 Apr 2009 03:52:59', '733502.17916431266')
(385, '116.6', '2131.0', '2073.7', 'Sun, 05 Apr 2009 03:53:59', '733502.17985871201')
(386, '116.6', '2130.7', '2071.1', 'Sun, 05 Apr 2009 03:54:59', '733502.18055306270')
(387, '115.9', '2135.6', '2077.4', 'Sun, 05 Apr 2009 03:55:59', '733502.18124764622')
(388, '115.5', '2132.3', '2071.6', 'Sun, 05 Apr 2009 03:56:59', '733502.18194199784')
(389, '115.2', '2137.8', '2076.9', 'Sun, 05 Apr 2009 03:57:59', '733502.18263658159')
(390, '115.0', '2141.4', '2081.4', 'Sun, 05 Apr 2009 03:58:59', '733502.18333093321')
(391, '115.5', '2134.5', '2075.6', 'Sun, 05 Apr 2009 03:59:59', '733502.18402533163')
(392, '116.4', '2134.5', '2074.6', 'Sun, 05 Apr 2009 04:00:59', '733502.18471986894')
(393, '116.6', '2140.1', '2080.7', 'Sun, 05 Apr 2009 04:01:59', '733502.18541426654')
(394, '116.2', '2137.6', '2075.9', 'Sun, 05 Apr 2009 04:02:59', '733502.18610861793')
(395, '115.5', '2138.9', '2074.7', 'Sun, 05 Apr 2009 04:03:59', '733502.18680320284')
(396, '115.2', '2137.9', '2074.7', 'Sun, 05 Apr 2009 04:04:59', '733502.18749755342')
(397, '114.8', '2133.5', '2070.6', 'Sun, 05 Apr 2009 04:05:59', '733502.18819213705')
(398, '115.0', '2137.4', '2074.2', 'Sun, 05 Apr 2009 04:06:59', '733502.18888648995')
(399, '115.5', '2138.1', '2074.4', 'Sun, 05 Apr 2009 04:07:59', '733502.18958088662')
(400, '115.7', '2133.5', '2069.9', 'Sun, 05 Apr 2009 04:08:59', '733502.19027542463')
(401, '115.2', '2137.9', '2074.2', 'Sun, 05 Apr 2009 04:09:59', '733502.19096982211')
(402, '114.8', '2144.7', '2081.2', 'Sun, 05 Apr 2009 04:10:59', '733502.19166417373')
(403, '114.6', '2141.7', '2074.9', 'Sun, 05 Apr 2009 04:11:59', '733502.19235875690')
(404, '114.1', '2146.5', '2080.4', 'Sun, 05 Apr 2009 04:12:59', '733502.19305310945')
(405, '114.6', '2147.5', '2086.7', 'Sun, 05 Apr 2009 04:13:59', '733502.19374769274')
(406, '114.8', '2140.6', '2078.7', 'Sun, 05 Apr 2009 04:14:59', '733502.19444204529')
(407, '114.6', '2144.5', '2081.2', 'Sun, 05 Apr 2009 04:15:59', '733502.19513644243')
(408, '114.6', '2145.0', '2081.7', 'Sun, 05 Apr 2009 04:16:59', '733502.19583097950')
(409, '114.3', '2138.4', '2075.4', 'Sun, 05 Apr 2009 04:17:59', '733502.19652537792')
(410, '113.9', '2140.7', '2075.7', 'Sun, 05 Apr 2009 04:18:59', '733502.19721972977')
(411, '113.7', '2146.2', '2080.7', 'Sun, 05 Apr 2009 04:19:59', '733502.19791431283')
(412, '113.9', '2138.1', '2074.7', 'Sun, 05 Apr 2009 04:20:59', '733502.19860866468')
(413, '114.1', '2139.1', '2075.1', 'Sun, 05 Apr 2009 04:21:59', '733502.19930324820')
(414, '114.1', '2144.7', '2076.9', 'Sun, 05 Apr 2009 04:22:59', '733502.19999759982')
(415, '114.1', '2144.9', '2080.2', 'Sun, 05 Apr 2009 04:23:59', '733502.20069199731')
(416, '114.3', '2141.9', '2075.9', 'Sun, 05 Apr 2009 04:24:59', '733502.20138653426')
(417, '114.1', '2146.2', '2082.9', 'Sun, 05 Apr 2009 04:25:59', '733502.20208093384')
(418, '114.1', '2146.7', '2087.5', 'Sun, 05 Apr 2009 04:26:59', '733502.20277528570')
(419, '113.9', '2140.4', '2078.2', 'Sun, 05 Apr 2009 04:27:59', '733502.20346986852')
(420, '113.5', '2138.6', '2072.2', 'Sun, 05 Apr 2009 04:28:59', '733502.20416422002')
(421, '113.5', '2141.9', '2076.4', 'Sun, 05 Apr 2009 04:29:59', '733502.20485861821')
(422, '113.2', '2143.2', '2077.4', 'Sun, 05 Apr 2009 04:30:59', '733502.20555315539')
(423, '113.0', '2140.9', '2079.2', 'Sun, 05 Apr 2009 04:31:59', '733502.20624755311')
(424, '113.2', '2134.8', '2072.4', 'Sun, 05 Apr 2009 04:32:59', '733502.20694209053')
(425, '113.2', '2132.0', '2069.7', 'Sun, 05 Apr 2009 04:33:59', '733502.20763648883')
(426, '113.0', '2136.1', '2074.7', 'Sun, 05 Apr 2009 04:34:59', '733502.20833088725')
(427, '113.2', '2139.1', '2079.2', 'Sun, 05 Apr 2009 04:35:59', '733502.20902542374')
(428, '113.0', '2134.3', '2073.2', 'Sun, 05 Apr 2009 04:36:59', '733502.20971982135')
(429, '113.2', '2141.4', '2075.9', 'Sun, 05 Apr 2009 04:37:59', '733502.21041417343')
(430, '113.5', '2145.3', '2083.0', 'Sun, 05 Apr 2009 04:38:59', '733502.21110875567')
(431, '113.7', '2145.0', '2089.5', 'Sun, 05 Apr 2009 04:39:59', '733502.21180310694')
(432, '113.9', '2138.7', '2077.4', 'Sun, 05 Apr 2009 04:40:59', '733502.21249769058')
(433, '113.7', '2144.5', '2084.0', 'Sun, 05 Apr 2009 04:41:59', '733502.21319204324')
(434, '113.5', '2146.0', '2086.8', 'Sun, 05 Apr 2009 04:42:59', '733502.21388644062')
(435, '113.0', '2144.3', '2084.7', 'Sun, 05 Apr 2009 04:43:59', '733502.21458097827')
(436, '112.8', '2142.5', '2078.2', 'Sun, 05 Apr 2009 04:44:59', '733502.21527537680')
(437, '113.5', '2146.3', '2084.7', 'Sun, 05 Apr 2009 04:45:59', '733502.21596972912')
(438, '113.2', '2142.2', '2080.5', 'Sun, 05 Apr 2009 04:46:59', '733502.21666431299')
(439, '112.8', '2143.3', '2083.0', 'Sun, 05 Apr 2009 04:47:59', '733502.21735866612')
(440, '113.0', '2147.1', '2086.8', 'Sun, 05 Apr 2009 04:48:59', '733502.21805324592')
(441, '113.2', '2142.7', '2082.7', 'Sun, 05 Apr 2009 04:49:59', '733502.21874760080')
(442, '112.8', '2142.2', '2078.7', 'Sun, 05 Apr 2009 04:50:59', '733502.21944199770')
(443, '112.1', '2149.3', '2086.2', 'Sun, 05 Apr 2009 04:51:59', '733502.22013653500')
(444, '112.5', '2150.6', '2093.1', 'Sun, 05 Apr 2009 04:52:59', '733502.22083093319')
(445, '112.5', '2146.0', '2084.7', 'Sun, 05 Apr 2009 04:53:59', '733502.22152528574')
(446, '112.3', '2150.1', '2080.0', 'Sun, 05 Apr 2009 04:54:59', '733502.22221986821')
(447, '111.9', '2153.4', '2093.3', 'Sun, 05 Apr 2009 04:55:59', '733502.22291422100')
(448, '112.1', '2155.2', '2104.6', 'Sun, 05 Apr 2009 04:56:59', '733502.22360880300')
(449, '112.8', '2150.1', '2096.8', 'Sun, 05 Apr 2009 04:57:59', '733502.22430315590')
(450, '113.0', '2148.3', '2090.8', 'Sun, 05 Apr 2009 04:58:59', '733502.22499755363')
(451, '112.8', '2154.7', '2095.6', 'Sun, 05 Apr 2009 04:59:59', '733502.22569209046')
(452, '112.1', '2154.7', '2104.1', 'Sun, 05 Apr 2009 05:00:59', '733502.22638648876')
(453, '112.1', '2152.9', '2097.6', 'Sun, 05 Apr 2009 05:01:59', '733502.22708084167')
(454, '111.9', '2155.7', '2096.8', 'Sun, 05 Apr 2009 05:02:59', '733502.22777542390')
(455, '111.4', '2151.4', '2093.6', 'Sun, 05 Apr 2009 05:03:59', '733502.22846977401')
(456, '111.2', '2155.5', '2095.3', 'Sun, 05 Apr 2009 05:04:59', '733502.22916417208')
(457, '111.2', '2158.0', '2096.8', 'Sun, 05 Apr 2009 05:05:59', '733502.22985870962')
(458, '111.0', '2153.7', '2091.3', 'Sun, 05 Apr 2009 05:06:59', '733502.23055310769')
(459, '110.8', '2157.0', '2088.5', 'Sun, 05 Apr 2009 05:07:59', '733502.23124764464')
(460, '110.3', '2158.2', '2100.3', 'Sun, 05 Apr 2009 05:08:59', '733502.23194204457')
(461, '109.8', '2152.7', '2094.1', 'Sun, 05 Apr 2009 05:09:59', '733502.23263639654')
(462, '109.6', '2152.2', '2094.5', 'Sun, 05 Apr 2009 05:10:59', '733502.23333098064')
(463, '109.8', '2157.3', '2100.6', 'Sun, 05 Apr 2009 05:11:59', '733502.23402533145')
(464, '110.1', '2159.3', '2096.1', 'Sun, 05 Apr 2009 05:12:59', '733502.23471972940')
(465, '110.1', '2151.7', '2088.5', 'Sun, 05 Apr 2009 05:13:59', '733502.23541426670')
(466, '109.8', '2152.9', '2093.8', 'Sun, 05 Apr 2009 05:14:59', '733502.23610866466')
(467, '110.3', '2156.3', '2096.1', 'Sun, 05 Apr 2009 05:15:59', '733502.23680320173')
(468, '110.3', '2154.2', '2090.0', 'Sun, 05 Apr 2009 05:16:59', '733502.23749760038')
(469, '109.6', '2156.5', '2097.3', 'Sun, 05 Apr 2009 05:17:59', '733502.23819199821')
(470, '109.6', '2156.3', '2097.8', 'Sun, 05 Apr 2009 05:18:59', '733502.23888653715')
(471, '110.1', '2148.6', '2088.8', 'Sun, 05 Apr 2009 05:19:59', '733502.23958093324')
(472, '110.5', '2148.1', '2084.8', 'Sun, 05 Apr 2009 05:20:59', '733502.24027528521')
(473, '110.5', '2153.0', '2087.8', 'Sun, 05 Apr 2009 05:21:59', '733502.24096986849')
(474, '110.3', '2156.8', '2096.3', 'Sun, 05 Apr 2009 05:22:59', '733502.24166422058')
(475, '109.6', '2155.7', '2099.1', 'Sun, 05 Apr 2009 05:23:59', '733502.24235880258')
(476, '109.2', '2157.5', '2099.6', 'Sun, 05 Apr 2009 05:24:59', '733502.24305315525')
(477, '109.4', '2160.8', '2108.2', 'Sun, 05 Apr 2009 05:25:59', '733502.24374755332')
(478, '109.6', '2159.3', '2099.4', 'Sun, 05 Apr 2009 05:26:59', '733502.24444209004')
(479, '109.0', '2163.7', '2103.1', 'Sun, 05 Apr 2009 05:27:59', '733502.24513648800')
(480, '108.7', '2164.7', '2112.7', 'Sun, 05 Apr 2009 05:28:59', '733502.24583084031')
(481, '109.0', '2161.3', '2106.4', 'Sun, 05 Apr 2009 05:29:59', '733502.24652542302')
(482, '109.0', '2164.2', '2118.3', 'Sun, 05 Apr 2009 05:30:59', '733502.24721977429')
(483, '110.1', '2163.2', '2115.5', 'Sun, 05 Apr 2009 05:31:59', '733502.24791435711')
(484, '110.3', '2161.9', '2109.2', 'Sun, 05 Apr 2009 05:32:59', '733502.24860870931')
(485, '110.1', '2165.2', '2107.7', 'Sun, 05 Apr 2009 05:33:59', '733502.24930310738')
(486, '109.8', '2167.8', '2118.1', 'Sun, 05 Apr 2009 05:34:59', '733502.24999764434')
(487, '109.6', '2164.7', '2111.7', 'Sun, 05 Apr 2009 05:35:59', '733502.25069204241')
(488, '109.0', '2169.1', '2114.0', 'Sun, 05 Apr 2009 05:36:59', '733502.25138639461')
(489, '109.0', '2167.5', '2110.5', 'Sun, 05 Apr 2009 05:37:59', '733502.25208097801')
(490, '109.0', '2167.5', '2113.0', 'Sun, 05 Apr 2009 05:38:59', '733502.25277533114')
(491, '109.0', '2164.2', '2107.9', 'Sun, 05 Apr 2009 05:39:59', '733502.25346972980')
(492, '109.0', '2168.7', '2108.4', 'Sun, 05 Apr 2009 05:40:59', '733502.25416426687')
(493, '109.6', '2172.3', '2112.5', 'Sun, 05 Apr 2009 05:41:59', '733502.25485866528')
(494, '109.4', '2173.3', '2110.2', 'Sun, 05 Apr 2009 05:42:59', '733502.25555320212')
(495, '109.2', '2174.1', '2117.3', 'Sun, 05 Apr 2009 05:43:59', '733502.25624759949')
(496, '109.2', '2165.9', '2107.7', 'Sun, 05 Apr 2009 05:44:59', '733502.25694195088')
(497, '109.0', '2167.4', '2110.2', 'Sun, 05 Apr 2009 05:45:59', '733502.25763653556')
(498, '109.0', '2168.2', '2114.7', 'Sun, 05 Apr 2009 05:46:59', '733502.25833088614')
(499, '109.2', '2168.7', '2112.2', 'Sun, 05 Apr 2009 05:47:59', '733502.25902528421')
(500, '109.6', '2174.1', '2128.9', 'Sun, 05 Apr 2009 05:48:59', '733502.25971986854')
(501, '109.4', '2176.4', '2126.6', 'Sun, 05 Apr 2009 05:49:59', '733502.26041422063')
(502, '109.6', '2177.2', '2132.0', 'Sun, 05 Apr 2009 05:50:59', '733502.26110880356')
(503, '109.2', '2177.2', '2130.4', 'Sun, 05 Apr 2009 05:51:59', '733502.26180315611')
(504, '109.2', '2177.2', '2130.7', 'Sun, 05 Apr 2009 05:52:59', '733502.26249755360')
(505, '109.0', '2177.4', '2128.9', 'Sun, 05 Apr 2009 05:53:59', '733502.26319209160')
(506, '108.7', '2172.8', '2119.8', 'Sun, 05 Apr 2009 05:54:59', '733502.26388648862')
(507, '108.5', '2176.4', '2123.6', 'Sun, 05 Apr 2009 05:55:59', '733502.26458084036')
(508, '108.0', '2173.6', '2120.3', 'Sun, 05 Apr 2009 05:56:59', '733502.26527542365')
(509, '107.8', '2171.8', '2115.0', 'Sun, 05 Apr 2009 05:57:59', '733502.26596977620')
(510, '107.8', '2179.5', '2119.6', 'Sun, 05 Apr 2009 05:58:59', '733502.26666435739')
(511, '107.6', '2171.8', '2110.2', 'Sun, 05 Apr 2009 05:59:59', '733502.26735871239')
(512, '107.4', '2178.0', '2111.7', 'Sun, 05 Apr 2009 06:00:59', '733502.26805310883')
(513, '107.4', '2180.5', '2115.5', 'Sun, 05 Apr 2009 06:01:59', '733502.26874764636')
(514, '107.6', '2180.0', '2117.5', 'Sun, 05 Apr 2009 06:02:59', '733502.26944204408')
(515, '107.8', '2180.8', '2126.4', 'Sun, 05 Apr 2009 06:03:59', '733502.27013639675')
(516, '108.7', '2178.0', '2120.1', 'Sun, 05 Apr 2009 06:04:59', '733502.27083097957')
(517, '108.5', '2180.3', '2132.2', 'Sun, 05 Apr 2009 06:05:59', '733502.27152533247')
(518, '109.4', '2181.3', '2133.2', 'Sun, 05 Apr 2009 06:06:59', '733502.27221991471')
(519, '110.1', '2186.2', '2141.1', 'Sun, 05 Apr 2009 06:07:59', '733502.27291426680')
(520, '110.3', '2181.8', '2134.3', 'Sun, 05 Apr 2009 06:08:59', '733502.27360866591')
(521, '110.5', '2182.0', '2135.5', 'Sun, 05 Apr 2009 06:09:59', '733502.27430320194')
(522, '110.8', '2179.2', '2126.4', 'Sun, 05 Apr 2009 06:10:59', '733502.27499760012')
(523, '110.8', '2180.0', '2125.7', 'Sun, 05 Apr 2009 06:11:59', '733502.27569195244')
(524, '111.2', '2182.3', '2132.5', 'Sun, 05 Apr 2009 06:12:59', '733502.27638654213')
(525, '111.2', '2185.9', '2139.1', 'Sun, 05 Apr 2009 06:13:59', '733502.27708088711')
(526, '111.2', '2186.4', '2144.4', 'Sun, 05 Apr 2009 06:14:59', '733502.27777528588')
(527, '111.2', '2184.4', '2136.3', 'Sun, 05 Apr 2009 06:15:59', '733502.27846982190')
(528, '111.2', '2184.1', '2136.1', 'Sun, 05 Apr 2009 06:16:59', '733502.27916422009')
(529, '111.4', '2176.9', '2116.8', 'Sun, 05 Apr 2009 06:17:59', '733502.27985875739')
(530, '111.2', '2182.9', '2131.0', 'Sun, 05 Apr 2009 06:18:59', '733502.28055315535')
(531, '110.5', '2179.5', '2126.4', 'Sun, 05 Apr 2009 06:19:59', '733502.28124750685')
(532, '109.8', '2182.9', '2131.2', 'Sun, 05 Apr 2009 06:20:59', '733502.28194209130')
